Node,Global Id,X,Y,Z,Vx Vel,Vy Vel,Vz Vel,Press,Temp,Scal1,TurbK,TurbD,HeatFlux,Shear Mag,NVol,Density,Mach
140,141,163.68,-86.762,749.1,0,0,0,-3.29E-05,543.842,0,2.63E-12,21.4532,2.41E-05,1.61E-08,0,1.09E-07,0
141,142,170.15,-87.116,749.1,0,0,0,-3.38E-05,543.831,0,2.63E-12,21.3107,2.24E-05,4.35E-08,0,1.09E-07,0
142,143,174.25,-87.341,749.1,0,0,0,-3.39E-05,543.252,0,2.63E-12,9.13088,2.51E-05,6.32E-08,0,1.09E-07,0
143,144,178.86,-87.593,749.1,0,0,0,-3.34E-05,543.257,0,2.63E-12,6.60401,1.88E-05,5.87E-08,0,1.09E-07,0
144,145,184.05,-87.878,749.1,0,0,0,-3.42E-05,543.07,0,2.63E-12,8.40769,6.68E-06,6.90E-08,0,1.09E-07,0
145,146,166.19,-84.469,749.1,0,0,0,-3.44E-05,543.071,0,2.63E-12,14.7956,8.03E-06,6.64E-08,0,1.09E-07,0
146,147,170.74,-83.114,749.1,0,0,0,0,535.095,0,2.63E-12,7.90209,-1.51E-08,1.49E-07,0,1.11E-07,0
147,148,175,-84.724,749.1,0,0,0,0,535.243,0,2.63E-12,8.68604,-1.44E-08,1.59E-07,0,1.11E-07,0
148,149,179.31,-85.069,749.1,0,0,0,0,535.069,0,2.63E-12,7.1584,-8.72E-10,1.37E-07,0,1.11E-07,0
149,150,183.56,-86.484,749.1,0,0,0,0,534.341,0,2.63E-12,12.2124,1.93E-09,1.67E-07,0,1.11E-07,0
,,,,,,,,,,,,,,,,,
Minimums:0,0,160.31,-109.62,566.3,0,0,0,-0.0000425,530.298,0,2.63E-12,0.0369017,-0.000000603,0,0,0.000000109,0
Maximums:0,0,224.5,-75.932,1249.1,0,0,0,0.0000249,546.763,0,0.0001,152.119,0.000162788,0.00000023,0,0.000215585,0
Means:0,0,193.6279333,-89.54925333,1157.7,0,0,0,-2.54E-05,541.33294,0,5.33E-06,20.19560762,1.21E-05,5.56E-08,0,5.91E-06,0
Stan Dev:0,0,41.806,37.1177,36.6261,2.70261,1.68975,3.60359,2.07E-05,5.35878,0,1.16178,33.6379,3.12E-06,3.25E-08,,3.70E-05,0
,,,,,,,,,,,,,,,,,
 *** CFdesign CSV Nodal File Output ***,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
      Version 15.1 [20140515],,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
 Job Name = Scenario 1,,,,,,,,,,,,,,,,,
Iteration No = 1000  Step No = 0  Current Time = 0,,,,,,,,,,,,,,,,,
