point146,-0.672,4.839,5
point147,0.33,5.34,5
point148,2,5.34,5
point149,3.67,5.34,5
point150,4.672,4.839,5
point151,-0.704,-0.873,6
point152,0.31,-1.38,6
point153,2,-1.38,6
point154,3.69,-1.38,6
point155,4.704,-0.873,6
point156,-1.211,0.31,6
point157,0.31,0.31,6
point158,2,0.31,6
point159,3.69,0.31,6
point160,5.211,0.31,6
point161,-1.38,2,6
point162,0.31,2,6
point163,2,2,6
point164,3.69,2,6
point165,5.38,2,6
point166,-1.211,3.69,6
point167,0.31,3.69,6
point168,2,3.69,6
point169,3.69,3.69,6
point170,5.211,3.69,6
point171,-0.704,4.873,6
point172,0.31,5.38,6
point173,2,5.38,6
point174,3.69,5.38,6
point175,4.704,4.873,6
point176,-0.72,-0.89,7
point177,0.3,-1.4,7
point178,2,-1.4,7
point179,3.7,-1.4,7
point180,4.72,-0.89,7
point181,-1.23,0.3,7
point182,0.3,0.3,7
point183,2,0.3,7
point184,3.7,0.3,7
point185,5.23,0.3,7
point186,-1.4,2,7
point187,0.3,2,7
point188,2,2,7
point189,3.7,2,7
point190,5.4,2,7
point191,-1.23,3.7,7
point192,0.3,3.7,7
point193,2,3.7,7
point194,3.7,3.7,7
point195,5.23,3.7,7
point196,-0.72,4.89,7
point197,0.3,5.4,7
point198,2,5.4,7
point199,3.7,5.4,7
point200,4.72,4.89,7
point201,-0.704,-0.873,8
point202,0.31,-1.38,8
point203,2,-1.38,8
point204,3.69,-1.38,8
point205,4.704,-0.873,8
point206,-1.211,0.31,8
point207,0.31,0.31,8
point208,2,0.31,8
point209,3.69,0.31,8
point210,5.211,0.31,8
point211,-1.38,2,8
point212,0.31,2,8
point213,2,2,8
point214,3.69,2,8
point215,5.38,2,8
point216,-1.211,3.69,8
point217,0.31,3.69,8
point218,2,3.69,8
point219,3.69,3.69,8
point220,5.211,3.69,8
point221,-0.704,4.873,8
point222,0.31,5.38,8
point223,2,5.38,8
point224,3.69,5.38,8
point225,4.704,4.873,8
point226,-0.672,-0.839,9
point227,0.33,-1.34,9
point228,2,-1.34,9
point229,3.67,-1.34,9
point230,4.672,-0.839,9
point231,-1.173,0.33,9
point232,0.33,0.33,9
point233,2,0.33,9
point234,3.67,0.33,9
point235,5.173,0.33,9
point236,-1.34,2,9
point237,0.33,2,9
point238,2,2,9
point239,3.67,2,9
point240,5.34,2,9
point241,-1.173,3.67,9
point242,0.33,3.67,9
point243,2,3.67,9
point244,3.67,3.67,9
point245,5.173,3.67,9
point246,-0.672,4.839,9
point247,0.33,5.34,9
point248,2,5.34,9
point249,3.67,5.34,9
point250,4.672,4.839,9
point251,-0.608,-0.771,10
point252,0.37,-1.26,10
point253,2,-1.26,10
point254,3.63,-1.26,10
point255,4.608,-0.771,10
point256,-1.097,0.37,10
point257,0.37,0.37,10
point258,2,0.37,10
point259,3.63,0.37,10
point260,5.097,0.37,10
point261,-1.26,2,10
point262,0.37,2,10
point263,2,2,10
point264,3.63,2,10
point265,5.26,2,10
point266,-1.097,3.63,10
point267,0.37,3.63,10
point268,2,3.63,10
point269,3.63,3.63,10
point270,5.097,3.63,10
point271,-0.608,4.771,10
point272,0.37,5.26,10
point273,2,5.26,10
point274,3.63,5.26,10
point275,4.608,4.771,10
point276,-0.496,-0.652,11
point277,0.44,-1.12,11
point278,2,-1.12,11
point279,3.56,-1.12,11
point280,4.496,-0.652,11
point281,-0.964,0.44,11
point282,0.44,0.44,11
point283,2,0.44,11
point284,3.56,0.44,11
point285,4.964,0.44,11
point286,-1.12,2,11
point287,0.44,2,11
point288,2,2,11
point289,3.56,2,11
point290,5.12,2,11
point291,-0.964,3.56,11
point292,0.44,3.56,11
point293,2,3.56,11
point294,3.56,3.56,11
point295,4.964,3.56,11
point296,-0.496,4.652,11
point297,0.44,5.12,11
point298,2,5.12,11
point299,3.56,5.12,11
point300,4.496,4.652,11
point301,-0.32,-0.465,12
point302,0.55,-0.9,12
point303,2,-0.9,12
point304,3.45,-0.9,12
point305,4.32,-0.465,12
point306,-0.755,0.55,12
point307,0.55,0.55,12
point308,2,0.55,12
point309,3.45,0.55,12
point310,4.755,0.55,12
point311,-0.9,2,12
point312,0.55,2,12
point313,2,2,12
point314,3.45,2,12
point315,4.9,2,12
point316,-0.755,3.45,12
point317,0.55,3.45,12
point318,2,3.45,12
point319,3.45,3.45,12
point320,4.755,3.45,12
point321,-0.32,4.465,12
point322,0.55,4.9,12
point323,2,4.9,12
point324,3.45,4.9,12
point325,4.32,4.465,12
point326,-0.096,-0.227,13
point327,0.69,-0.62,13
point328,2,-0.62,13
point329,3.31,-0.62,13
point330,4.096,-0.227,13
point331,-0.489,0.69,13
point332,0.69,0.69,13
point333,2,0.69,13
point334,3.31,0.69,13
point335,4.489,0.69,13
point336,-0.62,2,13
point337,0.69,2,13
point338,2,2,13
point339,3.31,2,13
point340,4.62,2,13
point341,-0.489,3.31,13
point342,0.69,3.31,13
point343,2,3.31,13
point344,3.31,3.31,13
point345,4.489,3.31,13
point346,-0.096,4.227,13
point347,0.69,4.62,13
point348,2,4.62,13
point349,3.31,4.62,13
point350,4.096,4.227,13
point351,0.4,0.3,14
point352,1,0,14
point353,2,0,14
point354,3,0,14
point355,3.6,0.3,14
point356,0.1,1,14
point357,1,1,14
point358,2,1,14
point359,3,1,14
point360,3.9,1,14
point361,0,2,14
point362,1,2,14
point363,2,2,14
point364,3,2,14
point365,4,2,14
point366,0.1,3,14
point367,1,3,14
point368,2,3,14
point369,3,3,14
point370,3.9,3,14
point371,0.4,3.7,14
point372,1,4,14
point373,2,4,14
point374,3,4,14
